,Country,Happiness_score,pf_rol,pf_ss,pf_movement,pf_religion,pf_association,pf_expression,pf_identity,ef_government,ef_legal,ef_money,ef_trade,ef_regulation,Country_Code,2017,Hours
118,Georgia,4.519,5.4,9.1,6.7,7.2,8.5,8.6,8.2,7.6,6.3,8.9,8.7,8.1,GEO,13.93000031,37.7993
119,Gambia,4.516,,,,,,,,,,,,,GMB,,51.2764
120,Kenya,4.509,4,6.9,10,7.2,7,8.3,6.7,7.4,5.2,9.2,6.7,6.7,KEN,9.291999817,42.9545
121,Mauritania,4.49,4.2,5.6,6.7,5.7,5.5,6,0,5.9,3.7,8,6,6.9,MRT,10.27600002,54.0765
122,Mozambique,4.466,3.6,8.8,10,7.9,2.5,7.6,10,5.4,4.1,6.9,6.5,5,MOZ,3.173000097,42.3305
123,Tunisia,4.461,4.8,7.6,5,6.5,8,8.1,1.3,5.6,5.3,6.9,6.8,6.4,TUN,15.37899971,
124,Bangladesh,4.456,3.1,7,6.7,5.9,7,7,1.7,8.2,3.1,7,6,6.7,BGD,4.372000217,48.6043
125,Iraq,4.437,2.6,3.6,4.2,5.3,4.5,5.4,0,5,2.8,7.1,5.5,5.5,IRQ,7.890999794,44.2777
126,Congo (Kinshasa),4.418,,,,,,,,,,,,,COD,,
127,Mali,4.39,3.9,4.1,10,8.6,7.5,7.9,7.5,5.7,3.5,7.3,6.9,6.2,MLI,9.43500042,36.7291
128,Sierra Leone,4.374,3.9,7.3,8.3,8.5,-,7.3,3.8,6.9,3.9,6.5,6.4,4.7,SLE,4.324999809,
129,Sri Lanka,4.366,4.5,7.4,10,6.9,5.5,7.2,3.2,7.6,4.9,7.6,5.8,6.9,LKA,4.179999828,46.8368
130,Myanmar,4.36,3,8.3,0.8,6.3,7,7.7,2.5,6.8,3.6,6.7,5.2,5.9,MMR,1.550999999,49.0891
131,Chad,4.35,3.1,6.3,6.7,8.2,6.5,7.5,2.5,7.4,2.7,6.8,5.2,5,TCD,2.198999882,
132,Ukraine,4.332,4.5,7.9,6.7,5.9,5.5,7.4,9,7.2,4.4,5,6.8,6.4,UKR,9.510000229,39
133,Ethiopia,4.286,3.3,6.6,6.7,5.6,1.5,5.4,3.8,5.6,4.7,6.5,5.1,6.7,ETH,1.809999943,
134,Swaziland,4.212,,,,,,,,,,,,,SWZ,,
135,Uganda,4.189,3.4,7.4,7.5,8.4,7,7.6,0.8,7.5,4.7,9.4,7.6,7.8,UGA,1.697999954,39.2409
136,Egypt,4.166,3.6,5,4.2,3.7,3.5,6.5,0,4.9,4,5.8,5.8,4.8,EGY,,53
137,Zambia,4.107,4.1,8.3,4.2,7.3,-,6.9,5.8,6.6,5.2,8.8,7.1,6.5,ZMB,7.205999851,40.7731
138,Togo,4.085,4,8.1,5.8,8.9,8,8.5,2.5,6.5,5.2,7,5.7,6.6,TGO,1.657999992,43.7007
139,India,4.015,4.3,8,6.7,5.5,7,8,5.7,8.2,5.2,8.4,6.1,6.7,IND,2.556999922,
140,Liberia,3.975,3.8,7.7,8.3,9.2,-,7.2,1.3,7.2,4.2,9,6.2,6.2,LBR,2.028000116,42.6458
141,Comoros,3.973,,,,,,,,,,,,,COM,3.696000099,
142,Madagascar,3.933,3.6,8.4,7.5,7.5,5.5,8.3,6.3,7.6,3,7.6,6.7,5.8,MDG,1.66900003,36.3987
143,Lesotho,3.802,4.7,5.7,10,9.2,-,7.5,5,5.6,5.4,7.7,6.4,7.4,LSO,23.61300087,
144,Burundi,3.775,2.9,7.8,6.7,7.5,1.5,3.2,3.8,6.9,3.5,8.2,5.9,6.3,BDI,1.501000047,
145,Zimbabwe,3.663,3.5,8.4,6.7,6.4,2.5,6.7,4.2,5.5,4.1,8.4,3.7,6.7,ZWE,4.94299984,37.8049
146,Haiti,3.597,3.4,8,7.5,8.4,10,8.2,6.7,8.5,2.5,7.1,7.5,6.9,HTI,13.40499973,
147,Botswana,3.488,5.6,7.6,7.5,9,-,7.8,5,6.4,5.9,9.3,7.4,7.9,BWA,17.63100052,
148,Syria,3.462,1.8,4.7,0.8,4.4,-,1.9,0,5.7,3.2,5.9,5,5.4,SYR,,
149,Malawi,3.41,4.9,8.8,7.5,8.5,-,7.8,5.8,5.9,4.7,7,6.6,6,MWI,5.467999935,34.1332
150,Yemen,3.38,,,,,,,,,,,,,YEM,,43.2501
151,Rwanda,3.334,5.4,8.6,8.3,6,2,6.3,6.3,5.2,6.9,9.2,7.1,7.8,RWA,0.953999996,38.8966
152,Tanzania,3.231,4.2,6.8,8.3,6.4,5,7.5,2.5,6.7,5.7,8.3,6.2,7,TZA,1.93900001,
153,Afghanistan,3.203,,,,,,,,,,,,,AFG,1.559000015,
154,Central African Republic,3.083,,,,,,,,,,,,,CAF,6.447000027,
155,South Sudan,2.853,,,,,,,,,,,,,SSD,12.63899994,
156,Angola,,3.4,8.1,6.7,8.8,4,6.5,5,6.8,3,5.6,3.2,5.7,AGO,7.138999939,
157,Bahamas,,6.4,6.7,10,7.9,-,8.9,10,8.1,6.5,6.9,6.5,8.2,BHS,,
158,Barbados,,6.7,8.6,7.5,8.5,-,9.1,5,6.3,5.9,6.2,7,7,BRB,9.487000465,
159,Belize,,4.3,6.7,7.5,9.1,-,8.5,10,6.9,5.2,7.2,6.5,8.1,BLZ,9,50
160,Brunei Darussalam,,6.2,8.3,4.2,0,1,4.6,1.7,3.3,5.3,8.8,7.2,8.5,BRN,9.315999985,46.2896
